Time,o.c,o.h,o.l,o.o
2011-02-03 00:00:00+00:00,0.69639,0.746,0.66,0.7218
2011-02-04 00:00:00+00:00,0.8109999999999999,0.8501,0.6709999999999999,0.72
2011-02-05 00:00:00+00:00,0.90735,0.9167,0.8115,0.8390049999999999
2011-02-06 00:00:00+00:00,0.8968,0.92,0.8402950000000001,0.92
2011-02-07 00:00:00+00:00,0.89,0.9,0.8401,0.8996799999999999
2011-02-08 00:00:00+00:00,0.918,0.918,0.8617,0.89
2011-02-09 00:00:00+00:00,1.084495,1.09,0.8257,0.8885549999999999
2011-02-10 00:00:00+00:00,0.9751549999999999,1.1,0.8866333333333333,1.08
2011-02-11 00:00:00+00:00,1.0700049999999999,1.0899,0.9290950000000001,0.9697033333333334
2011-02-12 00:00:00+00:00,1.0799,1.08,0.9906,1.01
2011-02-13 00:00:00+00:00,1.05,1.08,1.0201,1.0511
2011-02-14 00:00:00+00:00,1.0753366666666668,1.08,1.033,1.04
2011-02-15 00:00:00+00:00,1.05,1.083,1.0356,1.055
2011-02-16 00:00:00+00:00,1.028624,1.05019,1.028624,1.05
2011-02-17 00:00:00+00:00,1.04,1.05019,1.02005,1.045
2011-02-18 00:00:00+00:00,0.8989,1.04019,0.789998,1.03667
2011-02-19 00:00:00+00:00,0.94898,0.98,0.8376,0.8376
2011-02-20 00:00:00+00:00,0.85,0.94898,0.83,0.94898
2011-02-21 00:00:00+00:00,0.8345,0.8796,0.8313,0.8313
2011-02-22 00:00:00+00:00,0.87023,0.94001,0.8312999999999999,0.85
2011-02-23 00:00:00+00:00,0.9,0.94,0.87023,0.90999
2011-02-24 00:00:00+00:00,0.993715,1.0,0.9,0.939
2011-02-25 00:00:00+00:00,0.9111,0.99979,0.91109,0.97
2011-02-26 00:00:00+00:00,0.958,0.97,0.91061,0.9111
2011-02-27 00:00:00+00:00,0.89,0.958,0.89,0.958
2011-02-28 00:00:00+00:00,0.8701,0.92,0.845,0.8900899999999999
2011-03-01 00:00:00+00:00,0.92022,0.9696,0.8502,0.8601
2011-03-02 00:00:00+00:00,0.9399,0.94,0.9102,0.92021
2011-03-03 00:00:00+00:00,0.93909,0.9399,0.91,0.9127
2011-03-04 00:00:00+00:00,0.9012,0.93909,0.9002,0.92021
2011-03-05 00:00:00+00:00,0.9103,0.9189,0.83,0.9099966666666668
2011-03-06 00:00:00+00:00,0.8866299999999999,0.9098,0.8101,0.9098
2011-03-07 00:00:00+00:00,0.88502,0.9083366666666668,0.846,0.87
2011-03-08 00:00:00+00:00,0.8699899999999999,0.885,0.8502,0.867505
2011-03-09 00:00:00+00:00,0.86449,0.87,0.85,0.8513200000000001
2011-03-10 00:00:00+00:00,0.9329,0.9329,0.85,0.86449
2011-03-11 00:00:00+00:00,0.88,0.925,0.8601,0.89
2011-03-12 00:00:00+00:00,0.918,0.9197,0.88,0.88
2011-03-13 00:00:00+00:00,0.89249,0.918,0.89187,0.894885
2011-03-14 00:00:00+00:00,0.8949,0.9,0.88005,0.89249
2011-03-15 00:00:00+00:00,0.8711200000000001,0.8949,0.8711200000000001,0.8949
2011-03-16 00:00:00+00:00,0.8599899999999999,0.88,0.8361,0.866
2011-03-17 00:00:00+00:00,0.82542,0.88,0.8109999999999999,0.845
2011-03-18 00:00:00+00:00,0.81648,0.85062,0.71499625,0.8499
2011-03-19 00:00:00+00:00,0.765,0.797,0.7314,0.78
2011-03-20 00:00:00+00:00,0.7410800000000001,0.79,0.7403,0.7675
2011-03-21 00:00:00+00:00,0.75897,0.772405,0.7405,0.76145
2011-03-22 00:00:00+00:00,0.80901,0.81,0.7405,0.75897
2011-03-23 00:00:00+00:00,0.8497100000000001,0.849875,0.8070666666666667,0.81
2011-03-24 00:00:00+00:00,0.8668799999999999,0.8989266666666667,0.82773,0.8320000000000001
2011-03-25 00:00:00+00:00,0.8837700000000001,0.88999,0.861,0.8668799999999999
2011-03-26 00:00:00+00:00,0.8552,0.90245,0.841,0.8837700000000001
2011-03-27 00:00:00+00:00,0.8275399999999999,0.87211,0.8161999999999999,0.828435
2011-03-28 00:00:00+00:00,0.79898,0.8430000000000001,0.77986,0.82
2011-03-29 00:00:00+00:00,0.7925,0.79966,0.7648,0.7989
2011-03-30 00:00:00+00:00,0.7897,0.795,0.7679,0.7925
2011-03-31 00:00:00+00:00,0.78461,0.80098,0.768,0.7897
2011-04-01 00:00:00+00:00,0.7741100000000001,0.79697,0.7741,0.7757
2011-04-02 00:00:00+00:00,0.78199,0.7998,0.775,0.775
2011-04-03 00:00:00+00:00,0.779,0.7921,0.777,0.78095
2011-04-04 00:00:00+00:00,0.68,0.78495,0.5848625,0.777
2011-04-05 00:00:00+00:00,0.71,0.7478,0.58,0.69
2011-04-06 00:00:00+00:00,0.74,0.75,0.6903,0.7477
2011-04-07 00:00:00+00:00,0.7538,0.784905,0.72853,0.75
2011-04-08 00:00:00+00:00,0.7499899999999999,0.799,0.7313,0.7534449999999999
2011-04-09 00:00:00+00:00,0.746584,0.7676,0.725,0.7499899999999999
2011-04-10 00:00:00+00:00,0.7369,0.7589,0.7166,0.7525850000000001
2011-04-11 00:00:00+00:00,0.77,0.7984899999999999,0.7103,0.73732
2011-04-12 00:00:00+00:00,0.86,0.8990000000000005,0.7703,0.7787
2011-04-13 00:00:00+00:00,0.93115,1.0,0.86,0.86
2011-04-14 00:00:00+00:00,0.99936,1.0,0.91,0.93075
2011-04-15 00:00:00+00:00,0.9869040000000002,1.08999,0.9503,1.0
2011-04-16 00:00:00+00:00,1.0499,1.095,0.9545799999999999,0.9788985714285714
2011-04-17 00:00:00+00:00,1.13057,1.1316666666666668,1.02555,1.048
2011-04-18 00:00:00+00:00,1.16199,1.1997,1.1174000000000002,1.1377583333333332
2011-04-19 00:00:00+00:00,1.1965,1.1979,1.15,1.1618
2011-04-20 00:00:00+00:00,1.1421,1.1974,1.13,1.181
2011-04-21 00:00:00+00:00,1.208,1.21,1.14,1.144095
2011-04-22 00:00:00+00:00,1.40901,1.41,1.1896666666666669,1.21
2011-04-23 00:00:00+00:00,1.665325,1.95,1.320395,1.3874
2011-04-24 00:00:00+00:00,1.63011,1.87395,1.6,1.79495
2011-04-25 00:00:00+00:00,1.57623,1.6875733333333331,1.521145,1.6655
2011-04-26 00:00:00+00:00,1.7949,1.7949,1.5332,1.581
2011-04-27 00:00:00+00:00,1.9,1.94995,1.72,1.7628877777777778
2011-04-28 00:00:00+00:00,2.2105900000000003,2.59143,1.682505,1.891
2011-04-29 00:00:00+00:00,2.88,2.922836666666667,2.21,2.2268
2011-04-30 00:00:00+00:00,3.5,4.016557777777779,2.75,2.8845
2011-05-01 00:00:00+00:00,3.03311,3.87,2.691414285714285,3.5
2011-05-02 00:00:00+00:00,3.2,3.494905,3.02945,3.0988
2011-05-03 00:00:00+00:00,3.3975,3.4750952631578933,3.1101,3.2
