Time,grayscale-holdings-btc-24h
2021-08-18 00:00:00+00:00,649597.5523323
2021-08-19 00:00:00+00:00,649562.2414572
2021-08-20 00:00:00+00:00,649562.2414572
2021-08-21 00:00:00+00:00,649562.2414572
2021-08-22 00:00:00+00:00,649562.2414572
2021-08-23 00:00:00+00:00,649419.6132166
2021-08-24 00:00:00+00:00,649384.3023415
2021-08-25 00:00:00+00:00,649348.2990963
2021-08-26 00:00:00+00:00,649312.9882212
2021-08-27 00:00:00+00:00,649277.6773461
2021-08-28 00:00:00+00:00,649277.6773461
2021-08-29 00:00:00+00:00,649277.6773461
2021-08-30 00:00:00+00:00,649170.3599806
2021-08-31 00:00:00+00:00,649135.0491055
2021-09-01 00:00:00+00:00,649099.7382304
2021-09-02 00:00:00+00:00,649063.7349852
2021-09-03 00:00:00+00:00,649028.4241101
2021-09-04 00:00:00+00:00,649028.4241101
2021-09-05 00:00:00+00:00,649028.4241101
2021-09-06 00:00:00+00:00,649028.4241101
2021-09-07 00:00:00+00:00,648885.7958695
2021-09-08 00:00:00+00:00,648850.4849944
2021-09-09 00:00:00+00:00,648815.1741193
2021-09-10 00:00:00+00:00,648779.1708741
2021-09-11 00:00:00+00:00,648779.1708741
2021-09-12 00:00:00+00:00,648779.1708741
2021-09-13 00:00:00+00:00,648672.5458787
2021-09-14 00:00:00+00:00,648637.2350036
2021-09-15 00:00:00+00:00,648601.9241285
2021-09-16 00:00:00+00:00,648565.9208833
2021-09-17 00:00:00+00:00,648530.6100082
2021-09-18 00:00:00+00:00,648530.6100082
2021-09-19 00:00:00+00:00,648530.6100082
2021-09-20 00:00:00+00:00,648423.9850128
2021-09-21 00:00:00+00:00,648388.6741377
2021-09-22 00:00:00+00:00,648352.6708925
2021-09-23 00:00:00+00:00,648317.3600174
2021-09-24 00:00:00+00:00,648282.0491423
2021-09-25 00:00:00+00:00,648282.0491423
2021-09-26 00:00:00+00:00,648282.0491423
2021-09-27 00:00:00+00:00,648175.4241469
2021-09-28 00:00:00+00:00,648140.1132718
2021-09-29 00:00:00+00:00,648104.1100266
2021-09-30 00:00:00+00:00,648068.7991515
2021-10-01 00:00:00+00:00,648033.4882764
2021-10-02 00:00:00+00:00,648033.4882764
2021-10-03 00:00:00+00:00,648033.4882764
2021-10-04 00:00:00+00:00,647926.863281
2021-10-05 00:00:00+00:00,647891.5524059
2021-10-06 00:00:00+00:00,647855.5491607
2021-10-07 00:00:00+00:00,647820.2382856
2021-10-08 00:00:00+00:00,647784.9274105
2021-10-09 00:00:00+00:00,647784.9274105
2021-10-10 00:00:00+00:00,647784.9274105
2021-10-11 00:00:00+00:00,647784.9274105
2021-10-12 00:00:00+00:00,647642.99154
2021-10-13 00:00:00+00:00,647608.373035
2021-10-14 00:00:00+00:00,647573.75453
2021-10-15 00:00:00+00:00,647539.136025
2021-10-16 00:00:00+00:00,647539.136025
2021-10-17 00:00:00+00:00,647539.136025
2021-10-18 00:00:00+00:00,647428.356809
2021-10-19 00:00:00+00:00,647393.738304
2021-10-20 00:00:00+00:00,647359.119799
2021-10-21 00:00:00+00:00,647324.501294
2021-10-22 00:00:00+00:00,647289.882789
2021-10-23 00:00:00+00:00,647289.882789
2021-10-24 00:00:00+00:00,647289.882789
2021-10-25 00:00:00+00:00,647179.103573
2021-10-26 00:00:00+00:00,647144.485068
2021-10-27 00:00:00+00:00,647109.866563
2021-10-28 00:00:00+00:00,647075.248058
2021-10-29 00:00:00+00:00,647040.629553
2021-10-30 00:00:00+00:00,647040.629553
2021-10-31 00:00:00+00:00,647040.629553
2021-11-01 00:00:00+00:00,646936.774038
2021-11-02 00:00:00+00:00,646895.231832
2021-11-03 00:00:00+00:00,646860.613327
