Time,investor-capitalization-btc-24h
2011-01-12 00:00:00+00:00,202490.67502542143
2011-01-13 00:00:00+00:00,213133.39122607722
2011-01-14 00:00:00+00:00,217000.5210117615
2011-01-15 00:00:00+00:00,218693.9025472026
2011-01-16 00:00:00+00:00,223007.64371260133
2011-01-17 00:00:00+00:00,225773.81794285803
2011-01-18 00:00:00+00:00,225233.6410547482
2011-01-19 00:00:00+00:00,229267.62297709635
2011-01-20 00:00:00+00:00,230920.01068386936
2011-01-21 00:00:00+00:00,233238.17911130696
2011-01-22 00:00:00+00:00,236918.22433242656
2011-01-23 00:00:00+00:00,245075.7416407303
2011-01-24 00:00:00+00:00,248631.685055674
2011-01-25 00:00:00+00:00,250628.72940597072
2011-01-26 00:00:00+00:00,256926.0076848974
2011-01-27 00:00:00+00:00,327913.2692725595
2011-01-28 00:00:00+00:00,331106.771783776
2011-01-29 00:00:00+00:00,337877.0096684624
2011-01-30 00:00:00+00:00,340189.5108154402
2011-01-31 00:00:00+00:00,353713.9915737618
2011-02-01 00:00:00+00:00,377724.4437069422
2011-02-02 00:00:00+00:00,406062.0664146154
2011-02-03 00:00:00+00:00,411987.8824953367
2011-02-04 00:00:00+00:00,420052.2716692195
2011-02-05 00:00:00+00:00,434852.28018601536
2011-02-06 00:00:00+00:00,455423.84041067597
2011-02-07 00:00:00+00:00,494795.55421606766
2011-02-08 00:00:00+00:00,499205.4296337849
2011-02-09 00:00:00+00:00,525349.0342029459
2011-02-10 00:00:00+00:00,539085.8990907826
2011-02-11 00:00:00+00:00,556298.3361582865
2011-02-12 00:00:00+00:00,563708.1526260093
2011-02-13 00:00:00+00:00,571605.077051816
2011-02-14 00:00:00+00:00,603454.5792655126
2011-02-15 00:00:00+00:00,607244.132227547
2011-02-16 00:00:00+00:00,609938.9128877867
2011-02-17 00:00:00+00:00,612392.6669254283
2011-02-18 00:00:00+00:00,618589.4996987669
2011-02-19 00:00:00+00:00,620827.5521404975
2011-02-20 00:00:00+00:00,625548.1330688053
2011-02-21 00:00:00+00:00,626477.1259794685
2011-02-22 00:00:00+00:00,630148.1002432446
2011-02-23 00:00:00+00:00,632023.1261470631
2011-02-24 00:00:00+00:00,637789.9061524392
2011-02-25 00:00:00+00:00,639942.6457801211
2011-02-26 00:00:00+00:00,654842.353609351
2011-02-27 00:00:00+00:00,673511.5115898913
2011-02-28 00:00:00+00:00,686363.8559856324
2011-03-01 00:00:00+00:00,869143.8955125661
2011-03-02 00:00:00+00:00,870267.73325419
2011-03-03 00:00:00+00:00,870415.6401994525
2011-03-04 00:00:00+00:00,873640.3742922228
2011-03-05 00:00:00+00:00,878316.0410753342
2011-03-06 00:00:00+00:00,873471.0293809192
2011-03-07 00:00:00+00:00,872759.7370562907
2011-03-08 00:00:00+00:00,876980.3427972065
2011-03-09 00:00:00+00:00,876368.7920121286
2011-03-10 00:00:00+00:00,878633.423643704
2011-03-11 00:00:00+00:00,880356.8289633439
2011-03-12 00:00:00+00:00,892947.8704138418
2011-03-13 00:00:00+00:00,899233.3693996599
2011-03-14 00:00:00+00:00,911587.2835114074
2011-03-15 00:00:00+00:00,916895.2559248602
2011-03-16 00:00:00+00:00,930901.5557843728
2011-03-17 00:00:00+00:00,935596.6150155959
2011-03-18 00:00:00+00:00,934199.2997297898
2011-03-19 00:00:00+00:00,934011.7629254201
2011-03-20 00:00:00+00:00,933746.9840706685
