Time,receiving-addresses-btc-24h
2010-03-06 00:00:00+00:00,5
2010-03-07 00:00:00+00:00,4
2010-03-08 00:00:00+00:00,7
2010-03-09 00:00:00+00:00,2
2010-03-10 00:00:00+00:00,8
2010-03-11 00:00:00+00:00,3
2010-03-12 00:00:00+00:00,2
2010-03-13 00:00:00+00:00,1
2010-03-14 00:00:00+00:00,2
2010-03-15 00:00:00+00:00,8
2010-03-16 00:00:00+00:00,3
2010-03-17 00:00:00+00:00,3
2010-03-18 00:00:00+00:00,8
2010-03-19 00:00:00+00:00,9
2010-03-20 00:00:00+00:00,15
2010-03-21 00:00:00+00:00,4
2010-03-22 00:00:00+00:00,6
2010-03-23 00:00:00+00:00,8
2010-03-24 00:00:00+00:00,9
2010-03-25 00:00:00+00:00,14
2010-03-26 00:00:00+00:00,7
2010-03-27 00:00:00+00:00,5
2010-03-28 00:00:00+00:00,4
2010-03-29 00:00:00+00:00,6
2010-03-30 00:00:00+00:00,3
2010-03-31 00:00:00+00:00,4
2010-04-01 00:00:00+00:00,5
2010-04-02 00:00:00+00:00,3
2010-04-03 00:00:00+00:00,7
2010-04-04 00:00:00+00:00,7
2010-04-05 00:00:00+00:00,28
2010-04-06 00:00:00+00:00,15
2010-04-07 00:00:00+00:00,9
2010-04-08 00:00:00+00:00,13
2010-04-09 00:00:00+00:00,45
2010-04-10 00:00:00+00:00,35
2010-04-11 00:00:00+00:00,38
2010-04-12 00:00:00+00:00,34
2010-04-13 00:00:00+00:00,15
2010-04-14 00:00:00+00:00,41
2010-04-15 00:00:00+00:00,74
2010-04-16 00:00:00+00:00,27
2010-04-17 00:00:00+00:00,20
2010-04-18 00:00:00+00:00,3114
2010-04-19 00:00:00+00:00,36
2010-04-20 00:00:00+00:00,27
2010-04-21 00:00:00+00:00,24
2010-04-22 00:00:00+00:00,32
2010-04-23 00:00:00+00:00,51
2010-04-24 00:00:00+00:00,27
2010-04-25 00:00:00+00:00,31
2010-04-26 00:00:00+00:00,43
2010-04-27 00:00:00+00:00,42
2010-04-28 00:00:00+00:00,38
2010-04-29 00:00:00+00:00,27
2010-04-30 00:00:00+00:00,26
2010-05-01 00:00:00+00:00,20
2010-05-02 00:00:00+00:00,15
2010-05-03 00:00:00+00:00,19
2010-05-04 00:00:00+00:00,25
2010-05-05 00:00:00+00:00,21
2010-05-06 00:00:00+00:00,20
2010-05-07 00:00:00+00:00,15
2010-05-08 00:00:00+00:00,21
2010-05-09 00:00:00+00:00,35
2010-05-10 00:00:00+00:00,20
2010-05-11 00:00:00+00:00,14
2010-05-12 00:00:00+00:00,18
2010-05-13 00:00:00+00:00,27
2010-05-14 00:00:00+00:00,26
2010-05-15 00:00:00+00:00,15
2010-05-16 00:00:00+00:00,13
2010-05-17 00:00:00+00:00,21
2010-05-18 00:00:00+00:00,40
2010-05-19 00:00:00+00:00,40
2010-05-20 00:00:00+00:00,23
2010-05-21 00:00:00+00:00,39
2010-05-22 00:00:00+00:00,28
2010-05-23 00:00:00+00:00,95
2010-05-24 00:00:00+00:00,51
2010-05-25 00:00:00+00:00,37
2010-05-26 00:00:00+00:00,56
2010-05-27 00:00:00+00:00,52
2010-05-28 00:00:00+00:00,55
2010-05-29 00:00:00+00:00,49
2010-05-30 00:00:00+00:00,46
2010-05-31 00:00:00+00:00,48
2010-06-01 00:00:00+00:00,43
2010-06-02 00:00:00+00:00,42
2010-06-03 00:00:00+00:00,67
2010-06-04 00:00:00+00:00,47
2010-06-05 00:00:00+00:00,36
2010-06-06 00:00:00+00:00,43
2010-06-07 00:00:00+00:00,43
2010-06-08 00:00:00+00:00,60
2010-06-09 00:00:00+00:00,55
2010-06-10 00:00:00+00:00,58
2010-06-11 00:00:00+00:00,83
2010-06-12 00:00:00+00:00,68
2010-06-13 00:00:00+00:00,62
2010-06-14 00:00:00+00:00,93
2010-06-15 00:00:00+00:00,95
2010-06-16 00:00:00+00:00,53
2010-06-17 00:00:00+00:00,58
2010-06-18 00:00:00+00:00,40
2010-06-19 00:00:00+00:00,66
2010-06-20 00:00:00+00:00,47
2010-06-21 00:00:00+00:00,110
2010-06-22 00:00:00+00:00,80
