Time,total-addresses-btc-24h
2009-12-30 00:00:00+00:00,32473
2009-12-31 00:00:00+00:00,32611
2010-01-01 00:00:00+00:00,32745
2010-01-02 00:00:00+00:00,32871
2010-01-03 00:00:00+00:00,33057
2010-01-04 00:00:00+00:00,33240
2010-01-05 00:00:00+00:00,33438
2010-01-06 00:00:00+00:00,33601
2010-01-07 00:00:00+00:00,33755
2010-01-08 00:00:00+00:00,33908
2010-01-09 00:00:00+00:00,34059
2010-01-10 00:00:00+00:00,34249
2010-01-11 00:00:00+00:00,34408
2010-01-12 00:00:00+00:00,34567
2010-01-13 00:00:00+00:00,34733
2010-01-14 00:00:00+00:00,34878
2010-01-15 00:00:00+00:00,35019
2010-01-16 00:00:00+00:00,35145
2010-01-17 00:00:00+00:00,35276
2010-01-18 00:00:00+00:00,35403
2010-01-19 00:00:00+00:00,35527
2010-01-20 00:00:00+00:00,35685
2010-01-21 00:00:00+00:00,35868
2010-01-22 00:00:00+00:00,36003
2010-01-23 00:00:00+00:00,36164
2010-01-24 00:00:00+00:00,36318
2010-01-25 00:00:00+00:00,36533
2010-01-26 00:00:00+00:00,36730
2010-01-27 00:00:00+00:00,36894
2010-01-28 00:00:00+00:00,37071
2010-01-29 00:00:00+00:00,37269
2010-01-30 00:00:00+00:00,37481
2010-01-31 00:00:00+00:00,37647
2010-02-01 00:00:00+00:00,37839
2010-02-02 00:00:00+00:00,37984
2010-02-03 00:00:00+00:00,38254
2010-02-04 00:00:00+00:00,38487
2010-02-05 00:00:00+00:00,38714
2010-02-06 00:00:00+00:00,38908
2010-02-07 00:00:00+00:00,39130
2010-02-08 00:00:00+00:00,39335
2010-02-09 00:00:00+00:00,39545
2010-02-10 00:00:00+00:00,39714
2010-02-11 00:00:00+00:00,39883
2010-02-12 00:00:00+00:00,40070
2010-02-13 00:00:00+00:00,40304
2010-02-14 00:00:00+00:00,40516
2010-02-15 00:00:00+00:00,40699
2010-02-16 00:00:00+00:00,40898
2010-02-17 00:00:00+00:00,41141
2010-02-18 00:00:00+00:00,41352
2010-02-19 00:00:00+00:00,41549
2010-02-20 00:00:00+00:00,41758
2010-02-21 00:00:00+00:00,41983
2010-02-22 00:00:00+00:00,42246
2010-02-23 00:00:00+00:00,42497
2010-02-24 00:00:00+00:00,42670
2010-02-25 00:00:00+00:00,42826
2010-02-26 00:00:00+00:00,43000
2010-02-27 00:00:00+00:00,43172
2010-02-28 00:00:00+00:00,43329
2010-03-01 00:00:00+00:00,43525
2010-03-02 00:00:00+00:00,43714
2010-03-03 00:00:00+00:00,43866
2010-03-04 00:00:00+00:00,44052
2010-03-05 00:00:00+00:00,44224
2010-03-06 00:00:00+00:00,44402
2010-03-07 00:00:00+00:00,44582
2010-03-08 00:00:00+00:00,44710
2010-03-09 00:00:00+00:00,44857
2010-03-10 00:00:00+00:00,45025
2010-03-11 00:00:00+00:00,45159
2010-03-12 00:00:00+00:00,45280
2010-03-13 00:00:00+00:00,45434
2010-03-14 00:00:00+00:00,45559
2010-03-15 00:00:00+00:00,45702
2010-03-16 00:00:00+00:00,45831
