Time,market-cap-btc-24h
2011-01-03 00:00:00+00:00,1474493.433866924
2011-01-04 00:00:00+00:00,1489228.4738533248
2011-01-05 00:00:00+00:00,1501518.7907703856
2011-01-06 00:00:00+00:00,1494599.3558603
2011-01-07 00:00:00+00:00,1591013.0487045748
2011-01-08 00:00:00+00:00,1605417.229514893
2011-01-09 00:00:00+00:00,1644624.2782035188
2011-01-10 00:00:00+00:00,1670845.5927256693
2011-01-11 00:00:00+00:00,1666642.1424600987
2011-01-12 00:00:00+00:00,1672662.970448887
2011-01-13 00:00:00+00:00,1897239.017002631
2011-01-14 00:00:00+00:00,1929372.2124712688
2011-01-15 00:00:00+00:00,2013782.7871929882
2011-01-16 00:00:00+00:00,2030336.6866867929
2011-01-17 00:00:00+00:00,1972476.356221849
2011-01-18 00:00:00+00:00,1770607.5286935417
2011-01-19 00:00:00+00:00,1614146.9584397613
2011-01-20 00:00:00+00:00,1752103.7500645139
2011-01-21 00:00:00+00:00,2009525.9479658178
2011-01-22 00:00:00+00:00,2185591.364775708
2011-01-23 00:00:00+00:00,2287350.2309268285
2011-01-24 00:00:00+00:00,2135511.105516154
2011-01-25 00:00:00+00:00,2180017.666716502
2011-01-26 00:00:00+00:00,2144970.25483977
2011-01-27 00:00:00+00:00,2180088.118516123
2011-01-28 00:00:00+00:00,2261865.877147056
2011-01-29 00:00:00+00:00,2310682.5900000045
2011-01-30 00:00:00+00:00,2412883.8233130137
2011-01-31 00:00:00+00:00,2592138.9886737783
2011-02-01 00:00:00+00:00,3532293.855013636
2011-02-02 00:00:00+00:00,3853554.844624852
2011-02-03 00:00:00+00:00,3795619.0594788212
2011-02-04 00:00:00+00:00,4006944.447676973
2011-02-05 00:00:00+00:00,4658739.622103486
2011-02-06 00:00:00+00:00,4765492.5316228485
2011-02-07 00:00:00+00:00,4690605.217198212
2011-02-08 00:00:00+00:00,4761071.679038313
2011-02-09 00:00:00+00:00,4925762.959914838
2011-02-10 00:00:00+00:00,5587139.126624992
2011-02-11 00:00:00+00:00,5282287.900393461
2011-02-12 00:00:00+00:00,5618477.193713115
2011-02-13 00:00:00+00:00,5660539.536443463
2011-02-14 00:00:00+00:00,5718568.696169515
2011-02-15 00:00:00+00:00,5690117.807583333
2011-02-16 00:00:00+00:00,5659034.661291651
2011-02-17 00:00:00+00:00,5701627.711072239
2011-02-18 00:00:00+00:00,5494673.187136874
2011-02-19 00:00:00+00:00,5140760.851962241
2011-02-20 00:00:00+00:00,4767381.09345083
2011-02-21 00:00:00+00:00,4684673.253143556
2011-02-22 00:00:00+00:00,4708940.135711201
2011-02-23 00:00:00+00:00,4988972.527450844
2011-02-24 00:00:00+00:00,5183110.643554219
2011-02-25 00:00:00+00:00,5386470.443347571
2011-02-26 00:00:00+00:00,5239332.310818763
2011-02-27 00:00:00+00:00,5212160.638002079
2011-02-28 00:00:00+00:00,4968505.0497665545
2011-03-01 00:00:00+00:00,5141416.37904787
2011-03-02 00:00:00+00:00,5137485.822170832
2011-03-03 00:00:00+00:00,5205336.662479233
2011-03-04 00:00:00+00:00,5111324.528309529
2011-03-05 00:00:00+00:00,5086038.63191537
2011-03-06 00:00:00+00:00,4749714.67864937
2011-03-07 00:00:00+00:00,4915026.564903382
2011-03-08 00:00:00+00:00,4931462.301581252
2011-03-09 00:00:00+00:00,4847128.937030483
2011-03-10 00:00:00+00:00,4882440.96956413
2011-03-11 00:00:00+00:00,5065479.864079272
2011-03-12 00:00:00+00:00,5091260.228639088
2011-03-13 00:00:00+00:00,5145746.92397175
2011-03-14 00:00:00+00:00,5044789.213784847
2011-03-15 00:00:00+00:00,5030750.625138556
2011-03-16 00:00:00+00:00,4895611.913873257
2011-03-17 00:00:00+00:00,4787185.404109818
2011-03-18 00:00:00+00:00,4573116.611304213
2011-03-19 00:00:00+00:00,4388969.402258349
2011-03-20 00:00:00+00:00,4400507.03391398
2011-03-21 00:00:00+00:00,4329298.742226053
2011-03-22 00:00:00+00:00,4458244.419530046
2011-03-23 00:00:00+00:00,4766361.648359741
2011-03-24 00:00:00+00:00,4901073.334189369
2011-03-25 00:00:00+00:00,5036077.328168501
2011-03-26 00:00:00+00:00,5014337.434695696
2011-03-27 00:00:00+00:00,4895521.9253188055
2011-03-28 00:00:00+00:00,4682069.810955312
2011-03-29 00:00:00+00:00,4564942.722979173
2011-03-30 00:00:00+00:00,4553849.560338025
2011-03-31 00:00:00+00:00,4580659.791122548
2011-04-01 00:00:00+00:00,4540846.878465706
2011-04-02 00:00:00+00:00,4587904.610788756
2011-04-03 00:00:00+00:00,4553406.634184989
2011-04-04 00:00:00+00:00,4044943.468526593
2011-04-05 00:00:00+00:00,3839575.031446616
2011-04-06 00:00:00+00:00,4190386.5418839986
2011-04-07 00:00:00+00:00,4418656.921535188
2011-04-08 00:00:00+00:00,4495562.506948402
2011-04-09 00:00:00+00:00,4409559.128118543
2011-04-10 00:00:00+00:00,4372415.321302979
2011-04-11 00:00:00+00:00,4438345.777241351
2011-04-12 00:00:00+00:00,4952551.269512085
2011-04-13 00:00:00+00:00,5424839.650089557
2011-04-14 00:00:00+00:00,5533653.938370704
2011-04-15 00:00:00+00:00,6017049.124802623
2011-04-16 00:00:00+00:00,6101349.295426483
2011-04-17 00:00:00+00:00,6237419.17304064
2011-04-18 00:00:00+00:00,6826065.683606016
2011-04-19 00:00:00+00:00,7000651.4049433945
2011-04-20 00:00:00+00:00,6960518.487243954
2011-04-21 00:00:00+00:00,6969084.9680077005
2011-04-22 00:00:00+00:00,7610590.335952424
2011-04-23 00:00:00+00:00,8776404.098263033
2011-04-24 00:00:00+00:00,10078406.04227118
2011-04-25 00:00:00+00:00,9569591.993051406
2011-04-26 00:00:00+00:00,9842698.327553548
2011-04-27 00:00:00+00:00,11150780.51738755
2011-04-28 00:00:00+00:00,12118551.962026494
2011-04-29 00:00:00+00:00,15026583.518472698
2011-04-30 00:00:00+00:00,18986448.926861636
2011-05-01 00:00:00+00:00,20306135.866149284
2011-05-02 00:00:00+00:00,19326151.594971087
2011-05-03 00:00:00+00:00,19841908.34251417
2011-05-04 00:00:00+00:00,20693513.524526034
2011-05-05 00:00:00+00:00,20828347.321504124
2011-05-06 00:00:00+00:00,21236270.79100816
2011-05-07 00:00:00+00:00,21565893.442732405
2011-05-08 00:00:00+00:00,23007226.863092076
2011-05-09 00:00:00+00:00,23398676.06225466
2011-05-10 00:00:00+00:00,28592443.959944647
2011-05-11 00:00:00+00:00,34437239.320319325
