ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper
2021-11-28,69284.8624393713,66499.85476766132,71929.24370829658,-465402.33228390163,-465402.33228390163,-465402.33228390163
2021-11-29,69268.2375491464,66775.93760666481,72098.34818081946,-465704.1239942274,-465704.1239942274,-465704.1239942274
2021-11-30,69051.76482562814,66348.75727436221,71692.4100961198,-466005.9157045536,-466005.9157045536,-466005.9157045536
2021-12-01,68852.13213420089,66022.28494713899,71552.05514139852,-466307.70741487935,-466307.70741487935,-466307.70741487935
2021-12-02,70049.31108500494,67312.24448852638,72929.76668373337,-466609.49912520533,-466609.49912520533,-466609.49912520533
2021-12-03,68473.62488199177,65637.84399751868,70875.85388805065,-466911.2908355313,-466911.2908355313,-466911.2908355313
2021-12-04,68370.04013812623,65511.930891198695,71087.33658296516,-467213.08254585706,-467213.08254585706,-467213.08254585706
2021-12-05,68308.85929615027,65714.62965270507,70960.9005483334,-467514.87425618304,-467514.87425618304,-467514.87425618304
2021-12-06,67415.01762193558,64735.89233434032,70039.49533106959,-467816.6659665088,-467816.6659665088,-467816.6659665088
2021-12-07,67224.75009966979,64604.6533015286,69939.76202581449,-468118.457676835,-468118.457676835,-468118.457676835
2021-12-08,67516.70040060388,64800.47855886046,70367.82560458725,-468420.2493871607,-468420.86373794754,-468420.2493871607
2021-12-09,65130.02769979689,62433.70990104461,67771.49063063478,-468722.04109748645,-468725.3599078801,-468722.04109748645
2021-12-10,66165.58026026475,63496.59989247137,68612.67241184505,-469023.83280781267,-469029.60329935653,-469023.83280781267
2021-12-11,66044.61746917671,63351.710325749096,68889.39758662014,-469325.6245181384,-469336.2024833476,-469325.6245181384
2021-12-12,67636.29215717834,64913.51427467833,70220.44298609061,-469627.4162284644,-469641.69427962584,-469627.4145871646
2021-12-13,65857.94838003727,63066.956343242426,68564.19780821352,-469929.2079387904,-469949.4074815361,-469929.20543288894
2021-12-14,66441.45686416893,63707.387082314424,69052.2064442642,-470230.99964911613,-470253.7644926164,-470230.31361351255
2021-12-15,66548.18442857667,63818.583664319376,69214.95596716051,-470532.7913594421,-470557.74616134015,-470531.8194130981
2021-12-16,76019.33475932822,73362.36416373013,78848.26816064725,-470834.58306976786,-470869.95822723786,-470829.95983714255
2021-12-17,66491.68036053359,63861.77610574508,69157.48240901112,-471136.3747800941,-471176.2243054964,-471130.6359134927
2021-12-18,66858.72328082734,64119.39120936667,69647.8506470559,-471438.1664904198,-471481.6530233303,-471424.6084380285
2021-12-19,66162.9596596557,63490.12503222224,68829.43667249703,-471739.9582007455,-471787.203498451,-471723.4620736065
2021-12-20,63527.6902066794,60737.639334135616,66588.3352118894,-472041.74991107173,-472096.8631193527,-472024.28961282776
2021-12-21,64487.321119351196,61773.87760293619,67373.08139839018,-472343.5416213975,-472404.94625688466,-472325.26495596126
2021-12-22,64786.75604906678,62115.80277808171,67472.68277931996,-472645.33333172346,-472715.8311374562,-472622.4933200952
2021-12-23,64858.94475006452,62194.712568478724,67525.25672778641,-472947.1250420492,-473025.37348553934,-472912.4106845301
2021-12-24,64624.7586195193,61805.89058591733,67580.23312130387,-473248.9167523752,-473337.7117829888,-473204.36149809585
2021-12-25,64748.29347274068,61957.255582279875,67463.05263232638,-473550.7084627012,-473647.7977167458,-473497.4504739544
2021-12-26,65249.010739259305,62455.72053306001,68156.21825003547,-473852.5001730269,-473960.29648234375,-473793.7317970106
2021-12-27,65985.73276590684,63168.22205179569,68611.12254001288,-474154.29188335314,-474275.3539623205,-474087.72346813563
2021-12-28,65224.566637996,62594.11609773809,67840.8480726412,-474456.0835936789,-474583.3975175143,-474382.059283972
